trip_id,trip_type,pickup_time,pickup_date,duration_mins,origin,destination,vehicle_required,zone,passengers,priority,special_requirements,status,assigned_driver_id
TRP001,Campus shuttle,09:28,2025-03-20,90,Airport Terminal B,Waterfront Plaza,Van,North,2,Urgent,Security clearance,unassigned,
TRP002,Event transport,06:45,2025-03-20,20,654 Maple Dr,Airport Terminal A,SUV,West,7,High,None,unassigned,
TRP003,Delivery run,07:17,2025-03-20,90,Central Station,Downtown Office Complex,Van,Central,3,Normal,Wheelchair accessible,unassigned,
TRP004,Corporate shuttle,11:15,2025-03-20,45,963 Poplar Rd,Sports Arena,SUV,North,6,High,None,assigned,DRV049
TRP005,Delivery run,16:35,2025-03-20,90,258 Walnut Way,Convention Center,SUV,West,1,Normal,None,unassigned,
TRP006,Airport transfer,13:01,2025-03-20,120,369 Spruce Ct,Convention Center,Sedan,West,1,Normal,Wheelchair accessible,unassigned,
TRP007,Campus shuttle,13:51,2025-03-20,45,258 Walnut Way,Hotel Grand,Sedan,South,7,Normal,Temperature controlled,unassigned,
TRP008,Emergency supply run,10:45,2025-03-20,45,Central Station,Central Station,Sedan,North,5,Normal,None,unassigned,
TRP009,Emergency supply run,06:39,2025-03-20,20,963 Poplar Rd,Central Station,Truck,Central,2,Normal,None,unassigned,
TRP010,Emergency supply run,10:20,2025-03-20,20,123 Main St,Industrial Park,Minibus,South,6,Normal,None,unassigned,
TRP011,Medical transport,16:38,2025-03-20,45,741 Willow Pl,Industrial Park,Van,West,6,Normal,None,unassigned,
TRP012,Airport transfer,15:27,2025-03-20,30,222 Hickory Dr,Government Building,SUV,Central,5,Normal,None,unassigned,
TRP013,Airport transfer,11:11,2025-03-20,45,222 Hickory Dr,Residential Complex B,Minibus,East,8,Normal,Security clearance,unassigned,
TRP014,Delivery run,14:43,2025-03-20,60,789 Pine Rd,Airport Terminal B,Minibus,Central,6,Low,None,unassigned,
TRP015,Airport transfer,17:28,2025-03-20,45,147 Birch Blvd,Shopping Center,Sedan,North,4,Normal,None,unassigned,
